sarLAT,sarLON,AISlat,AISlon,AIS_mmsi
22.64955657,120.2306619,22.64979,120.231,312534000
22.58626915,120.2345754,22.58611,120.2342,312535000
22.56562596,120.2483019,22.56527,120.2486,416453000
22.55689185,120.2530126,22.55702,120.2534,563163500
22.50945618,120.2534688,22.51028,120.253,352001747
22.5161742,120.2701663,22.51651,120.2707,416061000
22.5306207,120.2773789,22.53071,120.2778,563153200
22.53890548,120.2989355,22.53933,120.2995,253586000
