MMSI,LAT,LON,TYPE
0,25.372403,121.62135,0
0,25.376477,121.626922,0
2,26.311622,120.397102170457,0
5,24.8123506121181,121.929551280326,0
12,26.369932,119.97153,255
226,24.3516521335348,120.517940051153,0
227,24.3513052188541,120.519098326911,0
424,25.41469,121.403210222222,0
555,23.7402719432823,119.611895315028,0
999,25.6251836204024,121.998865678804,0
3332,25.0986285271872,119.479109206084,0
6176,25.4195089019496,121.691630949022,70
8822,26.8110722203147,120.522642990299,90
9021,22.3356689195501,120.375450680452,0
9022,22.3355724409146,120.375354914361,0
9023,22.335545,120.375552,0
9024,22.335548,120.37552,0
9027,22.3354985150709,120.375611084838,0
9028,22.335525,120.37553,0
9030,22.3356793914616,120.375567858873,0
9034,22.335493,120.375615,0
9035,22.335602,120.375573,0
30570,24.8490858902898,120.855247034141,0
41631,23.0915287876269,121.880541140227,0
41632,23.1074076648714,121.865293325202,0
41633,23.0693143216183,121.910213590229,0
41634,23.0592565829141,121.928240855412,0
86826,24.7861070410226,119.13860483361,0
151806,22.8411348424763,119.905125452194,0
236304,25.062129276863,119.4907228246,0
260011,24.2092326458563,120.456543260525,0
270001,24.297844740643,118.514294368581,0
349902,22.3351262350945,120.375610806539,0
349906,22.3351435731479,120.375381505507,0
349909,22.3347863431162,120.375311885131,0
349910,22.3350494374992,120.375450867538,0
364503,22.7930905243988,121.192624335108,0
400202,24.5818488887715,121.865674850852,0
418105,22.7695188432846,119.708154603469,0
418106,22.76484466364,119.67843566364,0
419201,22.7590563129086,121.367003288097,0
419202,22.7514077229757,121.381929986816,0
419203,22.7588507117326,121.363903409919,0
419204,22.7682525951908,121.348477903542,0
470101,23.313455,121.457547,0
470104,23.3138371317939,121.457493485125,0
470105,23.3141864204693,121.457602907524,0
470107,23.313735,121.457407,0
470111,23.3146608382172,121.457509204947,0
470115,23.3137975799063,121.45770884896,0
470116,23.3133453809035,121.457666797534,0
470117,23.313832,121.457695,0
480101,22.792527,121.194687,0
491801,23.1058033723316,121.540255951257,0
491802,23.108116892587,121.552899156715,0
491804,23.1092411567257,121.571758576342,0
491805,23.1072882108563,121.578856425969,0
491806,23.1079334559132,121.558511981277,0
491808,23.1078258738339,121.579203865178,0
516204,22.467818,120.445547,0
516216,22.467607,120.445362362054,0
525302,22.791957,121.193962,0
525307,22.792013,121.193973,0
561700,24.300282,118.237353,0
561788,24.3406497125125,118.478823687119,0
561789,24.2963584845539,118.451010163306,0
561790,24.3063737393122,118.454035497439,0
561882,24.3273793058811,118.395283365223,0
561894,24.3367159875579,118.321685757263,0
562859,24.3274667145409,118.396821037069,0
562861,24.3246725642555,118.393747129735,0
563315,22.468325,120.440703,0
563317,22.468303,120.440778,0
563321,22.4679308050408,120.438710450338,0
566873,24.3430879420336,118.348915105665,0
572203,23.5839328795273,121.80419718629,0
572206,23.5794436978049,121.821680625099,0
572209,23.5742740782038,121.83935284602,0
572210,23.5896327128744,121.788520821014,0
578801,22.6742456321816,121.235222357966,0
578802,22.6755306993496,121.238149958282,0
580006,24.3047681863116,118.550666984027,0
580010,24.3148409206094,118.558927492079,0
580016,24.3572609037609,118.595237695613,0
580018,24.3658759847331,118.601510946445,0
580019,24.3727189199436,118.606614760733,0
580020,24.3786779189456,118.609980875642,0
580021,24.3424789003948,118.584636505901,0
580022,24.3501997486156,118.590834085558,0
607608,21.9645884985073,121.19243207655,39
607609,21.9646214768074,121.19220506493,39
607613,21.9650385985565,121.191881500442,39
620102,23.8363458116628,121.880739946729,0
620109,23.846194853713,121.821908118912,0
620110,23.8349178523377,121.857812036541,0
620111,23.8318470612347,121.897111313758,0
620756,24.9614642539452,119.261789572244,0
620767,24.2792810190419,118.499861436072,0
620793,24.2912203400715,118.563460940841,0
655845,22.3919689473509,120.441277842822,0
760003,24.3769885363465,118.530413562856,0
891100,24.3050882702956,118.336435545165,0
960001,24.3629981784418,118.517833288962,0
960004,24.3842591138015,118.537236039781,0
960005,24.3708700272777,118.524956607944,0
960007,24.3899285636875,118.542173064679,0
960008,24.3951026688899,118.54847991642,0
960010,24.4015200772212,118.555262576608,0
960011,24.4062884064753,118.560427105682,0
960012,24.4119570062657,118.566890041827,0
960013,24.4179749583853,118.571755317953,0
960016,24.4296305366828,118.582994158469,0
960017,24.3573358250807,118.512362443906,0
960019,24.4382069566969,118.587584686695,0
960020,24.4429150616136,118.593192994717,0
