Y,X
23.01088398,120.1337144
22.96572066,120.1432669
23.0221521,120.1752873
22.84420842,120.1758114
23.01232471,120.1777348
22.53402157,120.246286
22.54796192,120.24733
22.49470761,120.2889989
22.50066044,120.2912715
22.52278452,120.3178417
22.27133182,120.3210803
22.42254203,120.336322
22.45427253,120.3548012
22.34795283,120.3894843
22.34695244,120.3895987
22.30283944,120.4076493
22.10813949,120.4179228
22.08580027,120.4373918
22.13031012,120.4597779
22.27140739,120.4935047
21.65896564,120.6925114
21.7587703,120.8249202
22.00606822,120.8772104
22.07995544,120.8901114
22.08118742,120.8904234
22.06878008,120.8920113
22.06411163,120.8920283
22.21722016,120.8936723
22.14386799,120.8974166
22.33772622,120.8986636
22.23564546,120.8986135
21.75265323,120.9186609
21.6861957,120.9477609
22.79732383,121.2005138
21.81295475,121.2148744
21.8114033,121.2151921
21.72553039,121.2745517
21.72724816,121.2747878
22.44633453,121.3163274
22.99342922,121.3217018
22.01795046,121.3356389
22.01540468,121.3358391
21.83448363,121.3429813
22.63432452,121.5091632
22.63339626,121.5093354
22.68112001,121.5134834
22.07975221,121.5781026
23.31489384,121.6410402
22.85365831,121.7136132
22.76114818,121.7575162
22.8517112,121.7588902
22.8528186,121.7592337
22.85402556,121.7596302
21.73289952,121.7708542
23.19897607,121.8251736
23.27776878,121.8963919
23.30612748,121.8994949
23.37510971,121.9051972
23.37252575,121.9054404
22.49074903,122.1016546
22.48673648,122.1026711
23.10550211,122.1027213
23.10686755,122.1026973
23.10458976,122.102754
23.10785307,122.1029156
22.82575176,122.1243613
21.89939868,122.1339089
21.89988851,122.1343588
21.8958301,122.1346902
21.85589339,122.1495527
22.50238606,122.1677927
22.73197465,122.2034531
23.16475736,122.2057396
21.94272633,122.2086098
22.68220904,122.2137968
21.93782849,122.31042
22.94034685,122.3572439
22.99613613,122.3884292
23.23269733,122.3980319
22.93288941,122.403356
22.54270385,122.4547688
22.53963236,122.4544896
22.85810908,122.4732733
22.8547092,122.4738035
22.85356495,122.4736656
22.85239323,122.4737939
22.85148849,122.4739471
22.28142018,122.5104688
22.27769746,122.5109412
22.61148574,122.5212991
23.38965577,122.5437615
22.59888259,122.5449626
22.60204055,122.5450862
22.44995012,122.7085237
