sarLAT,sarLON,aisLAT,aisLON,MMSI
22.991819427102,120.148229117103,22.991952,120.14772,416005415
22.9776735526713,120.168863591932,22.978418,120.16908,416006639
22.8122355881499,120.200916692907,22.812023,120.201222,241712000
22.6429524482136,120.228035696476,22.6426906577889,120.228249067036,677036300
22.6474240620724,120.232547235459,22.6474883562194,120.232745105675,511913000
22.5855976538874,120.237144745286,22.5852609729913,120.237407543154,353568000
22.635819159439,120.239301235558,22.635106435208,120.239448095577,312654000
22.5533620102098,120.242887895599,22.553155,120.243367,351465000
22.6174594889157,120.245660911078,22.6182308791249,120.250001295442,416005365
22.6310447800586,120.249150215592,22.6306644585664,120.249390677903,312152000
22.5646380843588,120.254332895113,22.5645214371485,120.254488083693,538009457
22.5537160149302,120.25765431071,22.5535302664698,120.257924813232,416453000
22.5254927341746,120.26419527349,22.52515,120.26487,636021280
22.5177948632014,120.269242617494,22.517407,120.270002,414220000
22.5377844707735,120.27137596469,22.5384718625478,120.270360205633,477406000
22.6128429318647,120.274719955041,22.612643,120.274307,416005211
22.6161833786582,120.276086127329,22.616167,120.2761,416322000
22.5300559553724,120.277483390871,22.529868,120.278,416019000
22.6154675652628,120.278645781456,22.615475,120.278747,677059700
22.6031662744122,120.282505385194,22.603511382291,120.282325980486,457425000
22.6020730166393,120.283069801645,22.602253,120.283,631011000
22.6136660609309,120.283801276686,22.6137199695898,120.283648157744,667001467
22.5976843447907,120.285949084715,22.59593,120.285568,416008538
22.3385493183219,120.287458902858,22.338641416444,120.287623256428,563160200
22.3371241855973,120.287205637246,22.338641416444,120.287623256428,563160200
22.5944605336385,120.288128711292,22.594235,120.288253,667001929
22.616602166735,120.290450747483,22.6141563630182,120.289422395015,416000061
22.5891857156978,120.29021664882,22.5898817983938,120.288900578149,401800433
22.6052672774749,120.295368496313,22.605848,120.296432,416005110
22.5989777316508,120.297318574679,22.601817,120.294267,354817000
22.5397085735457,120.299363712407,22.539433,120.29844,636015246
22.3097559021555,120.29920222954,22.3097588783939,120.299191810588,613919201
22.2264490759807,120.305503269605,22.2265667802796,120.305331827299,457350000
22.5706256859999,120.308556079575,22.5700572748848,120.309054607762,370442000
22.5473764756394,120.311438845998,22.54644,120.309625,563036950
22.5685892483627,120.314246748605,22.5684644041364,120.314286118106,416241700
22.5714435138166,120.313567462649,22.571957,120.313183,416536000
22.5340914728176,120.315342770105,22.534815,120.315717,249558000
22.5497472468458,120.32402215242,22.550253,120.322905,636019898
22.5604704696632,120.327885103853,22.560645,120.326705,538009494
22.5610314688378,120.328632420272,22.561602,120.329288,477076500
22.5514349625039,120.33691564623,22.551613,120.336375,416006618
22.5450351748554,120.343901581428,22.5432,120.342783,477191700
22.5458314088573,120.345024475533,22.5432,120.342783,477191700
22.5380026062793,120.346505183437,22.53937,120.343173,416195000
22.2414506489608,120.346995206468,22.2425972979435,120.346558053456,667002135
22.4090980228112,120.401592205624,22.4093277631903,120.402730740395,168668001
22.2829000495943,120.406025655762,22.282741224741,120.408900697677,677030800
22.4707605522604,120.443923919451,22.471273,120.442857,416009677
22.4699548695611,120.444557287747,22.4683032357246,120.445532099064,272508
21.4390840497955,120.500465326729,21.4384221908919,120.500214905681,636014866
21.4376916611052,120.500500864477,21.4384221908919,120.500214905681,636014866
21.6708758421691,120.617939980541,21.6697298738455,120.618936075421,538007820
21.9353334420695,120.655414183537,21.9347797671158,120.655602735333,416045000
21.9006907622378,120.674257745097,21.8980658108454,120.671343828897,416250600
21.5462234932723,120.959777207075,21.543422534389,120.960427055968,636021370
22.7906845414563,121.189403747306,22.791475,121.191773930088,416039537
21.6592075442019,121.191408969728,21.6614644464927,121.190742837141,352377000
21.9414928137004,121.192972921911,21.9446749876123,121.192594226382,563015300
22.6068593685631,121.208478934446,22.6107130817898,121.207351468344,416252000
22.0737748935551,121.252216492757,22.0703542842685,121.252781460614,563859000
21.8352214112792,121.321024148071,21.8337675354237,121.321477872832,636017770
21.8339952946103,121.320933200623,21.8337675354237,121.321477872832,636017770
21.8362498202337,121.321119962828,21.8337675354237,121.321477872832,636017770
22.1963672893671,121.349693850319,22.194727554429,121.350663090067,563126100
22.1948710021232,121.349894243729,22.194727554429,121.350663090067,563126100
22.1937618949032,121.350136424674,22.194727554429,121.350663090067,563126100
23.0944856351359,121.383296600377,23.095559258928,121.384070460161,994161666
22.1188553488964,121.383513693237,22.1185928154286,121.383554983579,538009602
22.114200595355,121.383880589423,22.1185928154286,121.383554983579,538009602
22.2012619216006,121.393976384759,22.198628148002,121.394287791254,538003667
22.1977418482479,121.415060640662,22.1981085710695,121.415743944229,352001786
22.279185163614,121.422128524321,22.2812531694277,121.422088709116,373967000
22.3304416814232,121.501445827742,22.3325153898272,121.501012662411,352001740
22.4033046818597,121.540915704689,22.4057982326667,121.53954550903,232003534
21.7699529473099,121.566436072255,21.7669782891115,121.566534483439,414090000
23.3102046015008,121.593498413705,23.3087281197757,121.594319610376,356875000
22.625903478747,121.600116999985,22.628471127935,121.599717579927,413157000
22.7488320528653,121.602444356918,22.7484034279329,121.602852973029,373528000
22.7498645521172,121.602465024679,22.7484034279329,121.602852973029,373528000
22.4500226394307,121.627242823938,22.4470976462748,121.628049319021,636023125
22.3642501313156,121.648428367716,22.3666645846495,121.647675189714,373048000
23.0085269684926,121.668304341973,23.0088816325504,121.668814991317,352630000
23.0097082346831,121.668343698491,23.0088816325504,121.668814991317,352630000
23.010933020796,121.668432971429,23.0088816325504,121.668814991317,352630000
22.6251512175621,121.700900383874,22.6216301556473,121.703153482276,414829000
